@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R1431,1441,684,1440,675,685,1439,683,1521,690,711,1433,677,1445,1436,257,1435,270,255,263,712,1329,264,705,706,663,320,269,265,1331,1391,1330,689,654,1393,1511,276,1512,326,1583'

@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute voicingFinalUnclipped_sma_quartile2 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute lspFreq_sma_de[5]_stddev numeric
@attribute F0finEnv_sma_de_linregc2 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute F0finEnv_sma_percentile1.0 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute F0finEnv_sma_de_linregerrQ numeric
@attribute F0final_sma_de_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute F0final_sma_de_stddev numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute gender {m,f}

@data

82.17622,96.7746,85.1953,83.71571,90.67242,92.13988,67.59229,78.83139,52.48204,278.8507,0.763222,59.62259,61.71743,227.5694,37.46244,-21.59546,1231.824,12.97392,-13.06369,-21.71898,0.763222,0.031057,-12.66815,0.699242,0.726598,2.25947,-6.179938,-50.50486,-2.567028,0.040744,-0.042979,0.001651,0,2.226714,23.82396,306.1608,6.534167,17.54153,-9.746716,m
75.20982,82.01839,75.31651,75.46751,103.7301,82.67909,49.99268,75.19933,40.22998,591.9138,0.743622,99.97825,175.8272,400.2903,64.16629,0.691693,3909.769,48.1133,6.863008,-4.973214,0.743622,0.04051,6.793874,0.671151,0.712784,2.196675,6.453708,-25.44826,17.98848,0.056936,-1.850116,0.00322,71.16087,2.228871,192.0351,471.883,-5.573528,21.76145,-1.249097,m
138.3274,162.4034,157.9904,154.7661,155.7852,166.1118,131.3585,149.8072,46.84721,181.4343,0.806701,145.0444,159.2357,184.4371,42.68246,-2.309394,1806.612,21.07726,-1.745398,-8.188508,0.806701,0.029844,-2.110203,0.730682,0.780867,2.31389,-5.205188,-24.76087,3.6788,0.041113,2.277953,0.001688,86.80358,2.31682,8.192295,438.6953,-6.599481,20.99213,-12.19896,m
146.1227,167.1248,155.5559,155.8189,151.1718,163.1215,144.5008,143.6813,44.7793,180.3859,0.810438,152.1812,150.7247,181.0828,35.076,-2.766296,1217.957,35.50279,3.340534,-2.937691,0.810438,0.028858,1.256516,0.737155,0.781333,2.31084,-12.32986,-10.72361,7.018948,0.036765,2.046444,0.001352,0,2.309564,19.98775,331.1764,-7.185765,18.22472,-15.22143,m
164.1813,194.5983,178.3344,170.9234,182.3835,195.2547,154.8407,164.4555,48.60055,226.3316,0.860446,169.2855,186.1136,228.8885,47.69913,-24.98917,2266.461,21.48582,-23.4031,-38.13603,0.638159,0.019379,-26.28491,0.770106,0.801447,2.280583,-15.65812,-50.66158,-12.64869,0.028925,1.052525,0.000836,151.2465,2.280565,13.16638,414.2035,3.507802,20.35318,-19.90564,f
166.1079,195.2771,184.4074,169.2358,186.4359,201.4514,140.6079,167.6214,52.45752,269.0298,0.843559,199.8668,220.8777,272.098,51.5315,-26.44682,2272.651,2.053716,-22.07057,-32.18053,0.432249,0.020409,-19.8132,0.776571,0.805847,2.339077,-16.8264,-50.78806,-11.7346,0.028173,1.772886,0.000794,138.8936,2.32675,16.85328,467.3235,4.907186,21.6482,-22.15469,f
134.7382,155.8433,144.0229,142.2267,150.0332,157.7059,135.9843,140.0607,42.25896,182.1505,0.821558,125.9175,139.4196,184.5218,35.2005,-17.73318,1212.921,24.47351,-15.75135,-27.99085,0.597784,0.032978,-15.4414,0.756917,0.785736,2.319394,-16.04268,-49.41499,-4.596447,0.049066,0.966583,0.002407,129.3154,2.293385,10.62971,299.9796,7.826469,17.32004,-19.64484,f
154.9052,189.343,164.3444,154.452,167.058,188.6004,137.2197,143.6971,49.14325,214.9184,0.825191,161.2377,168.8275,226.4915,42.17915,-27.1949,1765.596,10.35425,-22.3813,-32.63733,0.60339,0.027289,-20.60834,0.768753,0.793425,2.318472,-11.87364,-70.29323,-8.689667,0.037273,2.417748,0.001383,102.951,2.290273,39.05095,368.0671,8.608191,19.19504,-19.46663,f
158.268,178.1256,172.3238,168.703,181.4931,188.9094,132.2065,166.2568,53.06116,260.0886,0.833481,168.9714,188.3273,264.0733,52.77283,-6.994024,2746.443,20.53287,-5.919448,-14.22437,0.833481,0.020483,-5.166681,0.743365,0.797894,2.296154,-14.83897,-39.37365,3.955468,0.027902,1.623427,0.000778,143.9353,2.295056,14.5977,582.4183,-2.753984,24.13704,-21.31869,f
192.7132,231.0234,204.7853,187.2444,215.6307,240.1845,161.0371,185.6142,66.65144,345.2273,0.848636,230.2306,248.1424,350.9218,67.33008,-22.29605,4060.092,12.31262,-14.0184,-23.44301,0.848636,0.019234,-13.9299,0.774877,0.81173,2.347627,-14.58138,-40.72074,-4.562526,0.026204,2.072189,0.000687,156.3568,2.327875,30.06271,735.7216,-2.74332,27.13135,-24.39691,f
114.2347,132.0993,107.041,100.858,147.1744,156.8774,66.29755,96.51923,110.81,422.3434,0.804859,135.2006,163.0543,553.0541,89.82279,-6.019212,7919.548,20.50418,-6.002518,-11.84382,0.595067,0.032547,-5.961551,0.673607,0.732935,2.265453,-9.665723,-30.15174,-0.303163,0.042183,2.440142,0.001779,26.7892,2.253585,153.7023,1194.479,-15.42585,34.59678,-15.11251,m
100.6864,119.3831,109.0911,102.777,110.8227,120.2493,91.7169,99.24927,26.68425,148.116,0.788804,118.2428,124.2278,149.7389,29.69601,-10.29375,778.089,28.43686,-2.75346,-10.40763,0.423062,0.02503,-2.946466,0.734831,0.756318,2.275448,-14.47825,-26.95266,4.257288,0.031648,1.024422,0.001001,91.40133,2.262616,4.708236,164.3044,-12.49971,12.85546,-14.18294,m
141.9658,169.578,147.9875,131.8284,158.9566,162.4184,103.6739,136.7226,44.84504,254.2175,0.787088,169.8524,174.6882,266.343,60.77316,7.695852,3431.354,57.05055,3.860674,-7.959873,0.787088,0.01842,1.778407,0.703292,0.748554,2.213091,-12.7425,-23.06758,12.89916,0.024393,1.519317,0.000593,119.1864,2.185789,35.60168,604.9143,-8.919172,24.6359,-15.85337,m
157.4623,176.8562,157.7621,151.06,167.5437,175.9584,133.2747,143.6134,69.49258,317.1458,0.793413,140.0782,149.0076,290.4295,54.63789,5.719934,2883.699,47.13549,8.841491,-1.403568,0.569916,0.023425,7.348456,0.744972,0.769904,2.092634,1.356024,-23.89606,21.40861,0.031262,1.678743,0.000976,114.0812,2.132145,71.71682,589.5422,-14.65683,24.28431,-14.91421,m
