@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R60,17,140,597,663,1431,1440,63,270,639,683,684,1441,42,255,257,278,675,1329,1390,62,244,276,528,656,685,1433,1445,234,269,290,326,654,662,690,1439,6,9,57,1583'

@attribute mfcc_sma[1]_percentile99.0 numeric
@attribute pcm_loudness_sma_percentile1.0 numeric
@attribute mfcc_sma[5]_iqr1-2 numeric
@attribute lspFreq_sma[4]_skewness numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute mfcc_sma[1]_upleveltime90 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile3 numeric
@attribute mfcc_sma[0]_upleveltime90 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute F0finEnv_sma_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute F0finEnv_sma_de_linregc1 numeric
@attribute mfcc_sma[1]_upleveltime75 numeric
@attribute mfcc_sma[10]_quartile3 numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma[1]_amean numeric
@attribute lspFreq_sma[7]_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute mfcc_sma[10]_amean numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute F0final_sma_quartile1 numeric
@attribute pcm_loudness_sma_linregerrA numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute gender {m,f}

@data

53.92685,0.18433,9.195832,0.070812,2.25947,82.17622,83.71571,0.044068,12.97392,-0.517698,78.83139,85.1953,96.7746,0.111864,-13.06369,-21.59546,11.0817,90.67242,0.031057,0.006723,0.213559,38.38051,6.534167,0.465285,2.227885,92.13988,59.62259,227.5694,29.3333,-50.50486,-18.58331,-9.746716,2.226714,2.157674,278.8507,67.59229,0.734647,0.750684,4.937494,m
60.04095,0.084214,12.89434,-0.026123,2.196675,75.20982,75.46751,0.124138,48.1133,-1.042111,75.19933,75.31651,82.01839,0.1,6.863008,0.691693,-5.083259,103.7301,0.04051,0.009026,0.441379,25.45069,-5.573528,0.462912,2.172824,82.67909,99.97825,400.2903,14.38741,-25.44826,-62.37381,-1.249097,2.228871,2.147462,591.9138,49.99268,0.533782,0.456352,10.3291,m
26.3818,0.067549,8.713528,0.378142,2.31389,138.3274,154.7661,0.151703,21.07726,-0.55658,149.8072,157.9904,162.4034,0.086687,-1.745398,-2.309394,-14.60571,155.7852,0.029844,-0.012566,0.436533,11.60511,-6.599481,0.403935,2.315514,166.1118,145.0444,184.4371,4.439179,-24.76087,-36.06731,-12.19896,2.31682,2.289874,181.4343,131.3585,0.206297,0.125017,7.93907,m
31.1723,0.094362,8.656389,0.368613,2.31084,146.1227,155.8189,0.104693,35.50279,-1.984493,143.6813,155.5559,167.1248,0.111913,3.340534,-2.766296,-6.393608,151.1718,0.028858,-0.010399,0.368231,6.664435,-7.185765,0.430619,2.308984,163.1215,152.1812,181.0828,-0.057871,-10.72361,-31.37413,-15.22143,2.309564,2.293908,180.3859,144.5008,0.242365,0.190931,10.71903,m
45.28326,0.135517,14.03563,-0.503986,2.280583,164.1813,170.9234,0.08254,21.48582,-0.709321,164.4555,178.3344,194.5983,0.120635,-23.4031,-24.98917,6.584042,182.3835,0.019379,-0.003743,0.32381,17.9891,3.507802,0.391495,2.290823,195.2547,169.2855,228.8885,7.280734,-50.66158,-32.66566,-19.90564,2.280565,2.237847,226.3316,154.8407,0.647405,0.694331,7.266279,f
55.93158,0.219411,17.01758,-0.543702,2.339077,166.1079,169.2358,0.054983,2.053716,-0.977374,167.6214,184.4074,195.2771,0.130584,-22.07057,-26.44682,2.011786,186.4359,0.020409,-0.010846,0.158076,8.059252,4.907186,0.374715,2.313728,201.4514,199.8668,272.098,0.075129,-50.78806,-31.04066,-22.15469,2.32675,2.293494,269.0298,140.6079,0.631699,1.185686,10.21559,f
59.46982,0.174737,23.41063,0.409417,2.319394,134.7382,142.2267,0.079038,24.47351,-0.32092,140.0607,144.0229,155.8433,0.061856,-15.75135,-17.73318,16.96819,150.0332,0.032978,-0.003815,0.436426,23.84905,7.826469,0.343682,2.254054,157.7059,125.9175,184.5218,9.949425,-49.41499,-24.77352,-19.64484,2.293385,2.252817,182.1505,135.9843,0.497276,1.114234,9.746346,f
59.55671,0.056252,11.1547,0.200571,2.318472,154.9052,154.452,0.188976,10.35425,-0.244932,143.6971,164.3444,189.343,0.066929,-22.3813,-27.1949,11.41855,167.058,0.027289,-0.013097,0.570866,12.70428,8.608191,0.325865,2.33901,188.6004,161.2377,226.4915,4.740367,-70.29323,-27.52912,-19.46663,2.290273,2.223852,214.9184,137.2197,0.405582,0.0119,7.702633,f
16.3423,0.019748,8.582003,1.337874,2.296154,158.268,168.703,0.130435,20.53287,-0.090196,166.2568,172.3238,178.1256,0.037267,-5.919448,-6.994024,-3.573517,181.4931,0.020483,-0.008718,0.52795,7.532142,-2.753984,0.495426,2.28393,188.9094,168.9714,264.0733,-3.662489,-39.37365,-22.13127,-21.31869,2.295056,2.264448,260.0886,132.2065,0.324672,0.876963,6.308257,f
21.86795,0.032089,9.017839,0.769556,2.347627,192.7132,187.2444,0.061017,12.31262,-0.955167,185.6142,204.7853,231.0234,0.023729,-14.0184,-22.29605,-0.160749,215.6307,0.019234,-0.012651,0.345763,6.452042,-2.74332,0.434342,2.368397,240.1845,230.2306,350.9218,-2.237488,-40.72074,-23.89362,-24.39691,2.327875,2.29378,345.2273,161.0371,0.447389,0.432203,8.815521,f
23.40416,0.055824,9.130857,1.173908,2.265453,114.2347,100.858,0.089655,20.50418,-0.301046,96.51923,107.041,132.0993,0.134483,-6.002518,-6.019212,-17.83182,147.1744,0.032547,-0.014819,0.62069,10.65233,-15.42585,0.535656,2.266607,156.8774,135.2006,553.0541,2.913235,-30.15174,-42.62458,-15.11251,2.253585,2.197134,422.3434,66.29755,0.384088,1.938894,5.544616,m
32.39732,0.037435,9.243453,0.26726,2.275448,100.6864,102.777,0.02439,28.43686,-1.254963,99.24927,109.0911,119.3831,0.080139,-2.75346,-10.29375,-7.801353,110.8227,0.02503,-0.005697,0.466899,7.103131,-12.49971,0.457141,2.248765,120.2493,118.2428,149.7389,0.493778,-26.95266,-40.10972,-14.18294,2.262616,2.224532,148.116,91.7169,0.26719,0.687539,8.2932,m
