WSJSUBSET Vs Treebank

Accuracy: 0.935601663254


FAIL %: (WSJSUBSET, TREEBANK)
0.000327761389708 ('CC', 'DT')
0.000327761389708 ('CC', 'RB')
0.000327761389708 ('CD', 'JJ')
0.000327761389708 ('CD', 'NNS')
0.000327761389708 ('CD', 'VBD')
0.000327761389708 ('CD', 'VBN')
0.000327761389708 ('FW', 'IN')
0.000327761389708 ('FW', 'NNP')
0.000327761389708 ('IN', 'VB')
0.000327761389708 ('JJ', 'JJR')
0.000327761389708 ('JJ', 'JJS')
0.000327761389708 ('JJ', 'PDT')
0.000327761389708 ('JJS', 'NN')
0.000327761389708 ('MD', 'JJ')
0.000327761389708 ('NNP', 'DT')
0.000327761389708 ('NNPS', 'VBZ')
0.000327761389708 ('NNP', 'VBN')
0.000327761389708 ('NNS', 'VBN')
0.000327761389708 ('PDT', 'IN')
0.000327761389708 ('PDT', 'NN')
0.000327761389708 ('POS', "''")
0.000327761389708 ("''", 'POS')
0.000327761389708 ('POS', 'VBZ')
0.000327761389708 ('PRP', 'CD')
0.000327761389708 ('PRP', 'NNS')
0.000327761389708 ('PRP$', 'PRP')
0.000327761389708 ('PRP', 'VB')
0.000327761389708 ('PRP', 'VBZ')
0.000327761389708 ('RB', 'PRP')
0.000327761389708 ('RBR', 'NNP')
0.000327761389708 ('RBS', 'NNP')
0.000327761389708 ('RB', 'VBD')
0.000327761389708 ('RB', 'VBZ')
0.000327761389708 ('RB', 'WRB')
0.000327761389708 ('TO', 'IN')
0.000327761389708 ('VBD', 'MD')
0.000327761389708 ('VBD', 'RB')
0.000327761389708 ('VBD', 'WDT')
0.000327761389708 ('VB', 'IN')
0.000327761389708 ('VB', 'JJS')
0.000327761389708 ('VBN', 'RB')
0.000327761389708 ('VBN', 'VB')
0.000327761389708 ('VBN', 'VBP')
0.000327761389708 ('VBP', 'JJR')
0.000327761389708 ('VBP', 'JJS')
0.000327761389708 ('VBP', 'PRP$')
0.000327761389708 ('VBP', 'VBG')
0.000327761389708 ('VB', 'RBR')
0.000327761389708 ('VB', 'RP')
0.000327761389708 ('VBZ', 'NNP')
0.000327761389708 ('WDT', 'DT')
0.000327761389708 ('WDT', 'RB')
0.000327761389708 ('WP', 'VB')
0.000327761389708 ('WRB', 'NNP')
0.000655522779417 ('DT', 'PDT')
0.000655522779417 ('FW', 'NN')
0.000655522779417 ('JJR', 'NNP')
0.000655522779417 ('MD', 'NN')
0.000655522779417 ('NN', 'PDT')
0.000655522779417 ('NNP', 'RB')
0.000655522779417 ('RB', 'JJR')
0.000655522779417 ('RBR', 'NN')
0.000655522779417 ('RB', 'VBP')
0.000655522779417 ('UH', 'NNP')
0.000655522779417 ('VB', 'CD')
0.000655522779417 ('VBP', 'JJ')
0.000655522779417 ('VBP', 'RB')
0.000983284169125 ('DT', 'WDT')
0.000983284169125 ('IN', 'JJ')
0.000983284169125 ('JJ', 'NNS')
0.000983284169125 ('NN', 'JJS')
0.000983284169125 ('NNS', 'CD')
0.000983284169125 ('NN', 'VBZ')
0.000983284169125 ('RB', 'RBR')
0.000983284169125 ('RP', 'IN')
0.000983284169125 ('VBD', 'VBP')
0.000983284169125 ('VBP', 'VBN')
0.00131104555883 ('CC', 'NNP')
0.00131104555883 ('IN', 'DT')
0.00131104555883 ('IN', 'NN')
0.00131104555883 ('JJ', 'VBP')
0.00131104555883 ('NN', 'JJR')
0.00131104555883 ('NNS', 'NN')
0.00131104555883 ('VBP', 'NNP')
